Timestamp,User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
09-03-2023 10:00,User_1,6,-75.00,30.00,10000.00,15000.00,70.00
09-03-2023 10:00,User_2,9,-80.00,20.00,100.00,120.00,80.00
09-03-2023 10:00,User_3,5,-85.00,40.00,5000.00,6000.00,75.00
09-03-2023 10:00,User_4,1,-70.00,10.00,1000.00,1500.00,90.00
09-03-2023 10:00,User_5,4,-78.00,25.00,2000.00,3000.00,85.00
09-03-2023 10:00,User_6,0,-90.00,50.00,500.00,550.00,70.00
09-03-2023 10:00,User_7,10,-88.00,30.00,1000.00,1000.00,60.00
09-03-2023 10:00,User_8,3,-95.00,100.00,10.00,15.00,50.00
09-03-2023 10:00,User_9,7,-82.00,35.00,3000.00,3500.00,80.00
09-03-2023 10:00,User_10,2,-75.00,45.00,2000.00,2000.00,70.00
09-03-2023 10:00,User_11,6,-76.00,32.00,12000.00,14000.00,70.00
09-03-2023 10:00,User_12,4,-79.00,24.00,2500.00,2800.00,75.00
09-03-2023 10:00,User_13,10,-87.00,28.00,1200.00,1200.00,65.00
09-03-2023 10:00,User_14,8,-81.00,22.00,150.00,170.00,85.00
09-03-2023 10:00,User_15,6,-74.00,29.00,10000.00,12000.00,60.00
09-03-2023 10:00,User_16,5,-84.00,38.00,4500.00,5000.00,70.00
09-03-2023 10:00,User_17,1,-69.00,9.00,1200.00,1300.00,80.00
09-03-2023 10:00,User_18,0,-91.00,48.00,600.00,600.00,55.00
09-03-2023 10:00,User_19,3,-96.00,105.00,8.00,9.00,70.00
09-03-2023 10:00,User_20,7,-83.00,34.00,3200.00,3500.00,75.00
09-03-2023 10:00,User_21,6,-77.00,31.00,11000.00,13000.00,75.00
09-03-2023 10:00,User_22,4,-80.00,23.00,2200.00,2500.00,80.00
09-03-2023 10:00,User_23,10,-86.00,29.00,1400.00,1400.00,70.00
09-03-2023 10:00,User_24,8,-82.00,21.00,160.00,180.00,90.00
09-03-2023 10:00,User_25,6,-73.00,28.00,10500.00,12500.00,75.00
09-03-2023 10:00,User_26,5,-83.00,37.00,4200.00,4800.00,85.00
09-03-2023 10:00,User_27,1,-68.00,8.00,1100.00,1200.00,70.00
09-03-2023 10:00,User_28,0,-92.00,47.00,620.00,620.00,60.00
09-03-2023 10:00,User_29,3,-97.00,110.00,7.00,8.00,65.00
09-03-2023 10:00,User_30,7,-84.00,33.00,3400.00,3700.00,70.00
09-03-2023 10:00,User_31,6,-78.00,30.00,10200.00,12200.00,75.00
09-03-2023 10:00,User_32,4,-79.00,24.00,2300.00,2600.00,80.00
09-03-2023 10:00,User_33,10,-88.00,27.00,1300.00,1300.00,70.00
09-03-2023 10:00,User_34,8,-83.00,20.00,170.00,190.00,90.00
09-03-2023 10:00,User_35,6,-72.00,27.00,10800.00,12800.00,75.00
09-03-2023 10:00,User_36,5,-82.00,36.00,4000.00,4600.00,85.00
09-03-2023 10:00,User_37,1,-67.00,7.00,1000.00,1100.00,70.00
09-03-2023 10:00,User_38,0,-93.00,46.00,630.00,630.00,60.00
09-03-2023 10:00,User_39,3,-98.00,105.00,6.00,7.00,65.00
09-03-2023 10:00,User_40,7,-85.00,32.00,3500.00,3800.00,70.00
09-03-2023 10:00,User_41,6,-79.00,29.00,10500.00,12300.00,70.00
09-03-2023 10:00,User_42,4,-78.00,25.00,2400.00,2700.00,75.00
09-03-2023 10:00,User_43,10,-87.00,28.00,1200.00,1200.00,70.00
09-03-2023 10:00,User_44,8,-84.00,20.00,165.00,185.00,90.00
09-03-2023 10:00,User_45,6,-71.00,26.00,10200.00,12600.00,80.00
09-03-2023 10:00,User_46,5,-81.00,35.00,3800.00,4400.00,85.00
09-03-2023 10:00,User_47,1,-66.00,7.00,1100.00,1200.00,70.00
09-03-2023 10:00,User_48,0,-94.00,45.00,640.00,640.00,60.00
09-03-2023 10:00,User_49,3,-99.00,104.00,5.00,6.00,65.00
09-03-2023 10:00,User_50,7,-86.00,31.00,3600.00,3900.00,70.00
09-03-2023 10:01,User_51,6,-80.00,30.00,11000.00,12500.00,80.00
09-03-2023 10:01,User_52,4,-77.00,24.00,2600.00,2900.00,85.00
09-03-2023 10:01,User_53,10,-89.00,27.00,1100.00,1100.00,70.00
09-03-2023 10:01,User_54,8,-85.00,21.00,160.00,190.00,90.00
09-03-2023 10:01,User_55,6,-70.00,27.00,10700.00,12300.00,75.00
09-03-2023 10:01,User_56,5,-80.00,35.00,4100.00,4700.00,85.00
09-03-2023 10:01,User_57,1,-65.00,8.00,1000.00,1100.00,70.00
09-03-2023 10:01,User_58,0,-95.00,46.00,650.00,650.00,60.00
09-03-2023 10:01,User_59,3,-100.00,103.00,4.00,5.00,75.00
09-03-2023 10:01,User_60,7,-87.00,32.00,3700.00,4000.00,70.00
09-03-2023 10:01,User_61,6,-81.00,29.00,10300.00,12100.00,70.00
09-03-2023 10:01,User_62,4,-76.00,23.00,2700.00,3000.00,80.00
09-03-2023 10:01,User_63,10,-90.00,26.00,1000.00,1000.00,70.00
09-03-2023 10:01,User_64,8,-86.00,20.00,155.00,180.00,90.00
09-03-2023 10:01,User_65,6,-69.00,26.00,10900.00,12400.00,75.00
09-03-2023 10:01,User_66,5,-79.00,34.00,4300.00,4900.00,85.00
09-03-2023 10:01,User_67,1,-64.00,7.00,1000.00,1100.00,70.00
09-03-2023 10:01,User_68,0,-96.00,45.00,660.00,660.00,60.00
09-03-2023 10:01,User_69,3,-101.00,102.00,3.00,4.00,75.00
09-03-2023 10:01,User_70,7,-88.00,31.00,3800.00,4100.00,70.00
09-03-2023 10:01,User_71,6,-82.00,28.00,10700.00,12200.00,70.00
09-03-2023 10:01,User_72,4,-75.00,22.00,2800.00,3100.00,80.00
09-03-2023 10:01,User_73,10,-91.00,25.00,900.00,900.00,70.00
09-03-2023 10:01,User_74,8,-87.00,19.00,150.00,175.00,90.00
09-03-2023 10:01,User_75,6,-68.00,25.00,11000.00,12500.00,75.00
09-03-2023 10:01,User_76,5,-78.00,33.00,4400.00,5000.00,85.00
09-03-2023 10:01,User_77,1,-63.00,6.00,900.00,1000.00,70.00
09-03-2023 10:01,User_78,0,-97.00,44.00,670.00,670.00,60.00
09-03-2023 10:01,User_79,3,-102.00,101.00,2.00,3.00,75.00
09-03-2023 10:01,User_80,7,-89.00,30.00,3900.00,4200.00,70.00
09-03-2023 10:01,User_81,6,-83.00,27.00,10800.00,12000.00,70.00
09-03-2023 10:01,User_82,4,-74.00,21.00,2900.00,3200.00,80.00
09-03-2023 10:01,User_83,10,-92.00,24.00,800.00,800.00,70.00
09-03-2023 10:01,User_84,8,-88.00,18.00,145.00,170.00,90.00
09-03-2023 10:01,User_85,6,-67.00,24.00,11200.00,12800.00,75.00
09-03-2023 10:01,User_86,5,-77.00,32.00,4500.00,5100.00,85.00
09-03-2023 10:01,User_87,1,-62.00,6.00,800.00,900.00,70.00
09-03-2023 10:01,User_88,0,-98.00,43.00,680.00,680.00,60.00
09-03-2023 10:01,User_89,3,-103.00,100.00,1.00,2.00,75.00
09-03-2023 10:01,User_90,7,-90.00,29.00,4000.00,4300.00,70.00
09-03-2023 10:01,User_91,6,-84.00,26.00,10900.00,12100.00,70.00
09-03-2023 10:01,User_92,4,-73.00,20.00,3000.00,3300.00,80.00
09-03-2023 10:01,User_93,10,-93.00,23.00,700.00,700.00,70.00
09-03-2023 10:01,User_94,8,-89.00,17.00,140.00,165.00,90.00
09-03-2023 10:01,User_95,6,-66.00,23.00,11400.00,12700.00,75.00
09-03-2023 10:01,User_96,5,-76.00,31.00,4600.00,5200.00,85.00
09-03-2023 10:01,User_97,1,-61.00,6.00,700.00,800.00,70.00
09-03-2023 10:01,User_98,0,-99.00,42.00,690.00,690.00,60.00
09-03-2023 10:01,User_99,3,-104.00,99.00,1.00,2.00,75.00
09-03-2023 10:01,User_100,7,-91.00,28.00,4100.00,4400.00,70.00
09-03-2023 10:01,User_101,8,-86.00,18.00,155.00,180.00,90.00
09-03-2023 10:01,User_102,4,-74.00,22.00,2900.00,3200.00,80.00
09-03-2023 10:01,User_103,10,-92.00,25.00,800.00,800.00,70.00
09-03-2023 10:01,User_104,6,-67.00,24.00,11200.00,12500.00,75.00
09-03-2023 10:01,User_105,5,-77.00,32.00,4500.00,5100.00,85.00
09-03-2023 10:01,User_106,1,-62.00,6.00,800.00,900.00,70.00
09-03-2023 10:01,User_107,0,-97.00,44.00,670.00,670.00,60.00
09-03-2023 10:01,User_108,3,-103.00,100.00,1.00,2.00,75.00
09-03-2023 10:01,User_109,7,-90.00,29.00,4000.00,4300.00,70.00
