User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation,posx,posy
1,Web_Browsing,-77.5,48.9,0.8,1.0,67.7,54,77
2,File_Download,-74.8,99.6,5.6,7.0,94.7,55,5
3,Video_Call,-6.2,26.1,1.3,2.8,85.7,51,87
4,Background_Download,-81.7,74.0,6.9,7.3,63.5,18,55
5,Online_Gaming,-79.0,19.8,1.3,3.0,51.0,41,53
6,Video_Streaming,-70.8,17.9,3.5,4.7,83.4,7,46
7,Background_Download,-1.8,66.7,5.3,5.6,63.9,37,14
8,Web_Browsing,-4.1,14.1,0.5,2.1,65.8,29,63
9,Streaming,-52.4,58.1,4.0,5.6,59.2,89,14
10,File_Download,-53.5,37.3,12.3,13.1,63.4,99,56
11,Background_Download,-89.4,11.3,6.7,6.9,74.3,12,88
12,VoIP_Call,-4.7,87.0,0.3,2.0,76.6,71,37
13,Online_Gaming,-90.3,10.3,2.0,2.9,96.9,81,15
14,VoIP_Call,-14.9,34.0,0.1,0.3,98.7,85,93
15,Voice_Call,-92.8,68.2,0.2,1.9,94.8,91,30
16,VoIP_Call,-51.7,15.8,0.1,1.1,79.3,36,6
17,Voice_Call,-58.0,23.4,0.3,2.0,68.4,89,88
18,Background_Download,-30.1,95.5,7.1,9.0,98.9,78,79
19,Emergency_Service,-34.5,71.9,2.1,2.3,53.5,2,22
20,VoIP_Call,-81.2,66.3,0.2,1.9,86.3,81,34
21,Online_Gaming,-20.0,89.2,2.5,2.6,94.5,68,24
22,File_Download,-86.1,17.9,12.4,12.6,73.7,38,24
23,Background_Download,-84.3,98.0,6.3,8.0,69.2,13,14
24,File_Download,-66.5,60.4,17.9,18.4,73.6,56,5
25,Video_Streaming,-63.4,43.4,7.3,9.0,65.3,20,94
26,Emergency_Service,-35.6,19.6,5.7,6.9,72.0,36,52
27,Video_Call,-81.6,71.5,1.0,3.0,91.8,76,12
28,VoIP_Call,-5.4,90.9,0.4,1.4,82.0,55,53
29,Video_Call,-71.2,33.3,1.2,1.4,78.6,8,99
30,Streaming,-74.8,31.0,2.8,3.1,97.9,21,8
31,Voice_Call,-55.2,10.1,0.2,1.3,50.5,11,87
32,Video_Streaming,-84.1,83.0,8.6,9.9,96.1,21,37
33,File_Download,-34.7,52.5,8.9,10.6,95.4,33,7
34,Video_Streaming,-73.9,72.2,3.5,4.4,54.4,53,4
35,Emergency_Service,-60.3,51.8,2.4,3.3,73.8,38,33
36,Voice_Call,-92.8,22.2,0.4,1.6,66.9,6,13
37,Background_Download,-78.1,30.6,5.5,7.1,61.0,68,80
38,VoIP_Call,-39.2,55.6,0.4,1.0,84.3,40,19
39,Video_Call,-35.4,38.1,1.5,1.7,97.9,50,11
40,Streaming,-41.7,87.6,4.9,6.0,88.6,19,71
41,Voice_Call,-11.4,78.9,0.1,1.3,73.7,83,78
42,Emergency_Service,-71.3,51.5,8.8,9.3,58.8,67,85
