User_ID,Application_Type,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,Resource_Allocation
2254,6,-62.23588320837969,28.496138893119436,11902.819193165029,13200.557854571405,75.3202627450045
2469,6,-76.08235638407041,29.126349011630975,10501.59837330591,12300.084722460664,69.28495585788956
2241,6,-44.09017873588952,47.20853651483975,13701.460203465116,15000.677933368785,76.08747789965918
2779,6,-76.90511636880238,31.40376783987584,10201.901110740186,12201.302783576537,74.97351472185397
2422,6,-82.11101565229852,27.453551235978978,10801.00178711408,12001.52498447368,69.45323810468975
3305,6,-61.00307415962585,28.915276586484993,12003.074359926592,13301.502106446915,75.88924440776388
2306,6,-66.19442454904318,24.657954807813212,11200.788578999513,12502.111943844977,75.54626448495688
1530,6,-72.10672136871749,29.821832353290638,10001.208721246769,12001.068465081966,60.84452809573141
3248,6,-50.143209174680955,38.38977688777458,13001.915515499753,14301.029937154566,75.04908333880742
1255,6,-42.5593683825388,49.339266993155356,14002.521827715269,15301.496908912837,76.14506310356235
3355,6,-66.4728973090932,27.285181631462926,11101.328161027064,12400.86784301381,75.86928753105987
1607,6,-75.64802304346554,33.672519418314465,11999.188697443324,13999.218158757334,70.61788248648712
2162,6,-40.9954267536821,50.388181503718414,14100.201967125255,15402.487536465718,76.42034022375547
986,6,-82.56089169406526,26.868266668700926,10901.14701375788,12101.74231648881,71.52317145324506
749,6,-79.593662554897,31.238973878982662,10301.183327906385,12101.86913264904,70.7451467435201
1635,6,-57.8633831058499,32.458055663123545,12401.602118769715,13701.852558653873,74.52148799104896
2465,6,-66.98205155816862,28.08435146708728,11300.345233833104,12598.885217844118,76.11526308205889
1169,6,-71.12184129204056,26.96221055969598,10800.622576815125,12801.16863994796,75.89277625131449
3377,6,-43.288252578963636,48.66462735898781,13900.035759077531,15201.079844073303,73.90966381673259
2964,6,-48.12034101063893,41.38797414246544,13302.306614150099,14599.961218181796,75.33147217226649
3127,6,-58.41389029916196,31.360995838140944,12202.27068223736,13502.1499963067,76.14937389534947
3417,6,-50.29964107194035,39.57642587230122,13101.351981139027,14401.396326949965,77.43808518742458
1410,6,-46.92437519683344,43.9802300814292,13500.442797011148,14801.122161572039,77.1851367808791
3635,6,-79.02028371557972,29.828186301009953,11000.876164157711,12499.302891992813,81.03820177765286
2888,6,-81.94096157211517,26.830428660595633,10801.300366105643,12001.003379632693,70.99479774232283
